Namespace(batch_size=128, dataset='cifar10', epochs=100, load_chkpt=120, lr_chechpoint1=60, lr_chechpoint2=80, lr_max=0.1, lr_schedule='piecewise', model='PreRes18_standard', momentum=0.9, seed=1, train_mode='std_train', weight_decay=0.0005)
Epoch 	 Train Time 	 Test Time 	 LR 	 	 	 Train Loss 	 Train Acc  	 Test Loss 	 Test Acc
74 		 10.1 	 	 1.2 	 	 0.0100 			 0.0029 	 1.0000 	 1.0129 	 0.7327
75 		 10.1 	 	 1.2 	 	 0.0100 			 0.0028 	 1.0000 	 1.0116 	 0.7314
76 		 10.0 	 	 1.2 	 	 0.0100 			 0.0027 	 1.0000 	 1.0027 	 0.7306
77 		 10.1 	 	 1.2 	 	 0.0100 			 0.0027 	 1.0000 	 1.0084 	 0.7299
78 		 10.1 	 	 1.2 	 	 0.0100 			 0.0027 	 1.0000 	 0.9997 	 0.7315
79 		 10.1 	 	 1.2 	 	 0.0100 			 0.0026 	 1.0000 	 1.0038 	 0.7320
80 		 10.0 	 	 1.2 	 	 0.0010 			 0.0026 	 1.0000 	 0.9918 	 0.7304
81 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9986 	 0.7315
82 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 1.0003 	 0.7319
83 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9966 	 0.7317
84 		 10.0 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9944 	 0.7306
85 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9941 	 0.7329
86 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9950 	 0.7305
87 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9946 	 0.7320
88 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9887 	 0.7317
89 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9929 	 0.7311
90 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9926 	 0.7308
91 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9993 	 0.7318
92 		 10.0 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9906 	 0.7335
93 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9946 	 0.7329
94 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9895 	 0.7313
95 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9934 	 0.7307
96 		 10.1 	 	 1.2 	 	 0.0010 			 0.0024 	 1.0000 	 0.9920 	 0.7333
97 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9917 	 0.7314
98 		 10.1 	 	 1.2 	 	 0.0010 			 0.0025 	 1.0000 	 0.9883 	 0.7315
99 		 10.1 	 	 1.2 	 	 0.0010 			 0.0024 	 1.0000 	 0.9873 	 0.7320
